latitude,longitude,altitude,geometry,street,neighbourhood,currentResult,votesTotal,osmnodeid,marker-color,comment
49.60726,6.109439,,Point,Avenue du Dix Septembre,Belair,2,11,node/1335780797,#FF0000,
49.60577,6.119503,,Point,Route d'Esch,Hollerich,2,7,node/1335802625,#FF0000,
49.60639,6.119548,,Point,Route d'Esch,Hollerich,2,7,node/1335802626,#FF0000,
49.611158,6.118322,,Point,Boulevard Grande-Duchesse Charlotte,Ville-Haute,2,10,node/1336106568,#FF0000,
49.609949,6.127931,,Point,,Ville-Haute,0,7,node/1336108521,#FFD700,
49.609954,6.128128,,Point,Rue Notre-Dame,Ville-Haute,2,7,node/1336108524,#FF0000,
49.610943,6.107772,,Point,Rue Mathieu Lambert Schrobilgen,Belair,2,7,node/1350817412,#FF0000,
49.634169,6.165998,,Point,Rue Joseph Hess,Kirchberg,10,6,node/1361071843,#FFD700,
49.594058,6.11718,,Point,Route d'Esch,Gasperich,2,7,node/1371314132,#FF0000,
49.614949,6.108858,,Point,Rue d'Ostende,Belair,2,7,node/1372306165,#FF0000,
49.627732,6.134385,,Point,Rue Henri Lamormesnil,Weimerskirch,2,7,node/1372681252,#FF0000,
49.609068,6.112094,,Point,Place Nicolas Philippe,Belair,2,7,node/1374315003,#FF0000,
49.609077,6.111915,,Point,Rue Arthur Herchen,Belair,2,8,node/1374315004,#FF0000,
49.609439,6.112516,,Point,Rue Abbé Lemire,Belair,2,8,node/1374315005,#FF0000,
49.600362,6.133386,,Point,Place de la Gare,Gare,0,7,node/1378101796,#FFD700,
49.621424,6.162672,,Point,,Neudorf-Weimershof,2,6,node/1379413814,#FF0000,
49.61298,6.119602,,Point,Place de l'Étoile,Ville-Haute,0,7,node/1389927987,#FFD700,
49.614312,6.113082,,Point,Route d'Arlon,Belair,12,7,node/1389928006,#FF0000,
49.607292,6.121302,,Point,Rue du Fort Rheinsheim,Ville-Haute,2,7,node/1395940503,#FF0000,
49.603703,6.118238,,Point,Rue Alphonse Munchen,Hollerich,2,6,node/1395967997,#FF0000,
49.607658,6.102836,,Point,Rue Jean Schoetter,Belair,2,6,node/1397125737,#FF0000,
49.60032,6.117417,,Point,Rue Émile Lavandier,Hollerich,2,6,node/1397388353,#FF0000,
49.604898,6.111065,,Point,Rue Marguerite de Brabant,Hollerich,2,6,node/1397388384,#FF0000,
49.601685,6.104484,,Point,Nouvelle route d'Esch,Hollerich,0,6,node/1398646114,#FFD700,
